"Country","Score","Regime"
" Norway","9.87","Full democracy"
" Iceland","9.58","Full democracy"
" Sweden","9.39","Full democracy"
" New Zealand","9.26","Full democracy"
" Finland","9.25","Full democracy"
" Ireland","9.24","Full democracy"
" Denmark","9.22","Full democracy"
" Canada","9.22","Full democracy"
" Australia","9.09","Full democracy"
"  Switzerland","9.03","Full democracy"
" Netherlands","9.01","Full democracy"
" Luxembourg","8.81","Full democracy"
" Germany","8.68","Full democracy"
" United Kingdom","8.52","Full democracy"
" Uruguay","8.38","Full democracy"
" Austria","8.29","Full democracy"
" Spain","8.29","Full democracy"
" Mauritius","8.22","Full democracy"
" Costa Rica","8.13","Full democracy"
" France","8.12","Full democracy"
" Chile","8.08","Full democracy"
" Portugal","8.03","Full democracy"
" South Korea","8.00","Flawed democracy"
" Japan","7.99","Flawed democracy"
" United States","7.96","Flawed democracy"
" Malta","7.95","Flawed democracy"
" Estonia","7.90","Flawed democracy"
" Israel","7.86","Flawed democracy"
" Botswana","7.81","Flawed democracy"
" Cape Verde","7.78","Flawed democracy"
" Taiwan","7.73","Flawed democracy"
" Czech Republic","7.69","Flawed democracy"
" Belgium","7.64","Flawed democracy"
" Cyprus","7.59","Flawed democracy"
" Italy","7.52","Flawed democracy"
" Slovenia","7.50","Flawed democracy"
" Lithuania","7.50","Flawed democracy"
" Latvia","7.49","Flawed democracy"
" Greece","7.43","Flawed democracy"
" South Africa","7.24","Flawed democracy"
" Timor-Leste","7.19","Flawed democracy"
" Slovakia","7.17","Flawed democracy"
" Malaysia","7.16","Flawed democracy"
" Trinidad and Tobago","7.16","Flawed democracy"
" Colombia","7.13","Flawed democracy"
" Panama","7.05","Flawed democracy"
" Bulgaria","7.03","Flawed democracy"
" Argentina","7.02","Flawed democracy"
" Suriname","6.98","Flawed democracy"
" Jamaica","6.96","Flawed democracy"
" India","6.90","Flawed democracy"
" Brazil","6.86","Flawed democracy"
" Tunisia","6.72","Flawed democracy"
" Philippines","6.64","Flawed democracy"
" Ghana","6.63","Flawed democracy"
" Hungary","6.63","Flawed democracy"
" Poland","6.62","Flawed democracy"
" Peru","6.60","Flawed democracy"
" Croatia","6.57","Flawed democracy"
" Dominican Republic","6.54","Flawed democracy"
" Lesotho","6.54","Flawed democracy"
" Mongolia","6.50","Flawed democracy"
" Romania","6.49","Flawed democracy"
" Indonesia","6.48","Flawed democracy"
" Namibia","6.43","Flawed democracy"
" Serbia","6.41","Flawed democracy"
" Ecuador","6.33","Flawed democracy"
" Thailand","6.32","Flawed democracy"
" Sri Lanka","6.27","Flawed democracy"
" Paraguay","6.24","Flawed democracy"
" El Salvador","6.15","Flawed democracy"
" Guyana","6.15","Flawed democracy"
" Mexico","6.09","Flawed democracy"
" Papua New Guinea","6.03","Flawed democracy"
" Hong Kong","6.02","Flawed democracy"
" Singapore","6.02","Flawed democracy"
" North Macedonia","5.97","Hybrid regime"
" Ukraine","5.90","Hybrid regime"
" Albania","5.89","Hybrid regime"
" Bangladesh","5.88","Hybrid regime"
" Fiji","5.85","Hybrid regime"
" Senegal","5.81","Hybrid regime"
" Moldova","5.75","Hybrid regime"
" Montenegro","5.65","Hybrid regime"
" Madagascar","5.64","Hybrid regime"
" Armenia","5.54","Hybrid regime"
" Malawi","5.50","Hybrid regime"
" Liberia","5.45","Hybrid regime"
" Georgia","5.42","Hybrid regime"
" Honduras","5.42","Hybrid regime"
" Bhutan","5.30","Hybrid regime"
"   Nepal","5.28","Hybrid regime"
" Guatemala","5.26","Hybrid regime"
" Kenya","5.18","Hybrid regime"
" Tanzania","5.16","Hybrid regime"
" Morocco","5.10","Hybrid regime"
" Benin","5.09","Hybrid regime"
" Zambia","5.09","Hybrid regime"
" Uganda","5.02","Hybrid regime"
" Mali","4.92","Hybrid regime"
" Kyrgyzstan","4.89","Hybrid regime"
" Bosnia and Herzegovina","4.86","Hybrid regime"
" Sierra Leone","4.86","Hybrid regime"
" Bolivia","4.84","Hybrid regime"
" Haiti","4.57","Hybrid regime"
" Lebanon","4.36","Hybrid regime"
" Gambia","4.33","Hybrid regime"
" Pakistan","4.25","Hybrid regime"
" Nigeria","4.12","Hybrid regime"
" Turkey","4.09","Hybrid regime"
" Ivory Coast","4.05","Hybrid regime"
" Burkina Faso","4.04","Hybrid regime"
" Algeria","4.01","Hybrid regime"
" Jordan","3.93","Authoritarian"
" Kuwait","3.93","Authoritarian"
" Mauritania","3.92","Authoritarian"
" Palestine","3.89","Authoritarian"
" Iraq","3.74","Authoritarian"
" Angola","3.72","Authoritarian"
" Mozambique","3.65","Authoritarian"
" Gabon","3.61","Authoritarian"
" Myanmar","3.55","Authoritarian"
" Nicaragua","3.55","Authoritarian"
" Cambodia","3.53","Authoritarian"
" Ethiopia","3.44","Authoritarian"
" Togo","3.30","Authoritarian"
" Niger","3.29","Authoritarian"
" Qatar","3.19","Authoritarian"
" Rwanda","3.16","Authoritarian"
" Zimbabwe","3.16","Authoritarian"
" Comoros","3.15","Authoritarian"
" Eswatini","3.14","Authoritarian"
" Guinea","3.14","Authoritarian"
" Republic of the Congo","3.11","Authoritarian"
" Russia","3.11","Authoritarian"
" Vietnam","3.08","Authoritarian"
" Egypt","3.06","Authoritarian"
" Oman","3.06","Authoritarian"
" Kazakhstan","2.94","Authoritarian"
" Venezuela","2.88","Authoritarian"
" Afghanistan","2.85","Authoritarian"
" Cameroon","2.85","Authoritarian"
" Cuba","2.84","Authoritarian"
" Djibouti","2.77","Authoritarian"
" United Arab Emirates","2.76","Authoritarian"
" Azerbaijan","2.75","Authoritarian"
" Sudan","2.70","Authoritarian"
" Guinea-Bissau","2.63","Authoritarian"
" Bahrain","2.55","Authoritarian"
" Belarus","2.48","Authoritarian"
" Iran","2.38","Authoritarian"
" Eritrea","2.37","Authoritarian"
" China","2.26","Authoritarian"
" Burundi","2.15","Authoritarian"
" Laos","2.14","Authoritarian"
" Libya","2.02","Authoritarian"
" Uzbekistan","2.01","Authoritarian"
" Yemen","1.95","Authoritarian"
" Saudi Arabia","1.93","Authoritarian"
" Tajikistan","1.93","Authoritarian"
" Equatorial Guinea","1.92","Authoritarian"
" Turkmenistan","1.72","Authoritarian"
" Chad","1.61","Authoritarian"
" Syria","1.43","Authoritarian"
" Central African Republic","1.32","Authoritarian"
" Democratic Republic of the Congo","1.13","Authoritarian"
" North Korea","1.08","Authoritarian"
