"Pais","Regimen"
"†Afganistan","Republica islamica presidencialista"
"†Albania","Republica parlamentaria"
"†Alemania","Republica parlamentaria"
"†Andorra","Monarqui≠a constitucional"
"†Angola","Republica presidencialista"
"†Antigua y Barbuda","Monarqui≠a constitucional"
"†Arabia Saudita","Monarqui≠a absoluta"
"†Argelia","Republica semipresidencialista"
"†Argentina","Republica presidencialista"
"†Armenia","Republica parlamentaria"
"†Australia","Monarqui≠a constitucional"
"†Austria","Republica parlamentaria"
"†Azerbaiyan","Republica semipresidencialista"
"†Bahamas","Monarqui≠a constitucional"
"†Banglades","Republica parlamentaria"
"†Barbados","Monarqui≠a constitucional"
"†Barein","Monarqui≠a constitucional"
"†Belgica","Monarqui≠a constitucional"
"†Belice","Monarqui≠a constitucional"
"†Bielorrusia","Republica presidencialista"
"†Beni≠n","Republica presidencialista"
"†Birmania","Republica parlamentaria"
"†Bolivia","Republica presidencialista"
"†Bosnia y Herzegovina","Republica parlamentaria"
"†Botsuana","Republica parlamentaria"
"†Brasil","Republica presidencialista"
"†Brunei","Monarqui≠a absoluta"
"†Bulgaria","Republica parlamentaria"
"†Burkina Faso","Republica semipresidencialista"
"†Burundi","Republica presidencialista"
"†Butan","Monarqui≠a constitucional"
"†Cabo Verde","Republica semipresidencialista"
"†Camboya","Monarqui≠a constitucional"
"†Camerun","Republica presidencialista"
"†Canada","Monarqui≠a constitucional"
"†Catar","Monarqui≠a absoluta"
"†Republica Centroafricana","Republica presidencialista"
"†Chad","Republica presidencialista"
"†Republica Checa","Republica parlamentaria"
"†Chile","Republica presidencialista"
"†China","Estado socialista"
"†Chipre","Republica presidencialista"
"†Colombia","Republica presidencialista"
"†Comoras","Republica presidencialista"
"†Republica del Congo","Republica presidencialista"
"†Republica Democratica del Congo","Republica semipresidencialista"
"†Corea del Norte","Estado socialista"
"†Corea del Sur","Republica presidencialista"
"†Costa de Marfil","Republica presidencialista"
"†Costa Rica","Republica presidencialista"
"†Croacia","Republica parlamentaria"
"†Cuba","Estado socialista"
"†Dinamarca","Monarqui≠a constitucional"
"†Dominica","Republica parlamentaria"
"†Republica Dominicana","Republica presidencialista"
"†Ecuador","Republica presidencialista"
"†Egipto","Republica semipresidencialista"
"†El Salvador","Republica presidencialista"
"†Emiratos iÅrabes Unidos","Monarqui≠a constitucional"
"†Eritrea","Republica unipartidista"
"†Eslovaquia","Republica parlamentaria"
"†Eslovenia","Republica parlamentaria"
"†Espana","Monarqui≠a constitucional"
"†Estados Unidos","Republica presidencialista"
"†Estonia","Republica parlamentaria"
"†Etiopi≠a","Republica parlamentaria"
"†Filipinas","Republica presidencialista"
"†Finlandia","Republica parlamentaria"
"†Fiyi","Republica parlamentaria"
"†Francia","Republica semipresidencialista"
"†Gabon","Republica presidencialista"
"†Gambia","Republica presidencialista"
"†Georgia","Republica parlamentaria"
"†Ghana","Republica presidencialista"
"†Granada","Monarqui≠a constitucional"
"†Grecia","Republica parlamentaria"
"†Guatemala","Republica presidencialista"
"†Guinea","Republica presidencialista"
"†Guinea-Bisau","Republica semipresidencialista"
"†Guinea Ecuatorial","Republica presidencialista"
"†Guyana","Republica presidencialista"
"†Haiti≠","Republica semipresidencialista"
"†Honduras","Republica presidencialista"
"†Hungri≠a","Republica parlamentaria"
"†India","Republica parlamentaria"
"†Indonesia","Republica presidencialista"
"†Irak","Republica parlamentaria"
"†Iran","Republica islamica presidencialista"
"†Irlanda","Republica parlamentaria"
"†Islandia","Republica parlamentaria"
"†Israel","Republica parlamentaria"
"†Italia","Republica parlamentaria"
"†Jamaica","Monarqui≠a constitucional"
"†Japon","Monarqui≠a constitucional"
"†Jordania","Monarqui≠a constitucional"
"†Kazajistan","Republica presidencialista"
"†Kenia","Republica presidencialista"
"†Kirguistan","Republica parlamentaria"
"†Kiribati","Republica parlamentaria"
"†Kuwait","Monarqui≠a constitucional"
"†Laos","Estado socialista"
"†Lesoto","Monarqui≠a constitucional"
"†Letonia","Republica parlamentaria"
"†Li≠bano","Republica parlamentaria"
"†Liberia","Republica presidencialista"
"†Libia","Gobierno provisional"
"†Liechtenstein","Monarqui≠a constitucional"
"†Lituania","Republica semipresidencialista"
"†Luxemburgo","Monarqui≠a constitucional"
"†Macedonia del Norte","Republica parlamentaria"
"†Madagascar","Republica semipresidencialista"
"†Malasia","Monarqui≠a constitucional electiva"
"†Malaui","Republica presidencialista"
"†Maldivas","Republica presidencialista"
"†Mali≠","Republica semipresidencialista"
"†Malta","Republica parlamentaria"
"†Marruecos","Monarqui≠a constitucional"
"†Islas Marshall","Republica parlamentaria"
"†Mauricio","Republica parlamentaria"
"†Mauritania","Republica islamica semipresidencialista"
"†Mexico","Republica presidencialista"
"†Estados Federados de Micronesia","Republica parlamentaria"
"†Moldavia","Republica parlamentaria"
"†Monaco","Monarqui≠a constitucional"
"†Mongolia","Republica semipresidencialista"
"†Montenegro","Republica parlamentaria"
"†Mozambique","Republica semipresidencialista"
"†Namibia","Republica semipresidencialista"
"†Nauru","Republica parlamentaria"
"†Nepal","Republica parlamentaria"
"†Nicaragua","Republica presidencialista"
"†Ni≠ger","Republica semipresidencialista"
"†Nigeria","Republica presidencialista"
"†Noruega","Monarqui≠a constitucional"
"†Nueva Zelanda","Monarqui≠a constitucional"
"†Oman","Monarqui≠a absoluta"
"†Pai≠ses†Bajos","Monarqui≠a constitucional"
"†Pakistan","Republica islamica parlamentaria"
"†Palaos","Republica presidencialista"
"†Palestina","Republica semipresidencialista"
"†Panama","Republica presidencialista"
"†Papua Nueva Guinea","Monarqui≠a constitucional"
"†Paraguay","Republica presidencialista"
"†Peru","Republica presidencialista"
"†Polonia","Republica parlamentaria"
"†Portugal","Republica semipresidencialista"
